"","diff.fit","low","high","study","treat","bilat_0","age","se"
"12760",-0.0681705247179679,-0.248028120913537,0.112174732474819,"McCormick","Antibiotics","Unilateral",6.42,-0.248028120913537
"12762",-0.0533178148456108,-0.234320983170453,0.144031181741351,"McCormick","Antibiotics","Bilateral",6.44,-0.234320983170453
"12764",-0.0686141632918331,-0.250070540357818,0.113202349849274,"McCormick","Antibiotics","Unilateral",6.46,-0.250070540357818
"12766",-0.0524750050174387,-0.233930647391761,0.145450614282669,"McCormick","Antibiotics","Bilateral",6.48,-0.233930647391761
"12768",-0.0690672763470417,-0.252142372959403,0.114232590902016,"McCormick","Antibiotics","Unilateral",6.5,-0.252142372959403
"12770",-0.0516398179908398,-0.233545201179226,0.146853483044678,"McCormick","Antibiotics","Bilateral",6.52,-0.233545201179226
"12772",-0.0695296172032378,-0.254242778957206,0.115264976536879,"McCormick","Antibiotics","Unilateral",6.54,-0.254242778957206
"12774",-0.0508122381495415,-0.233164737328882,0.148239810341941,"McCormick","Antibiotics","Bilateral",6.56,-0.233164737328882
"12776",-0.0700009283943282,-0.2563708809983,0.116299022871985,"McCormick","Antibiotics","Unilateral",6.58,-0.2563708809983
"12778",-0.0499922489019399,-0.232789346089637,0.149609621462932,"McCormick","Antibiotics","Bilateral",6.6,-0.232789346089637
"12780",-0.0704809500308435,-0.258525790724526,0.117334242535134,"McCormick","Antibiotics","Unilateral",6.62,-0.258525790724526
"12782",-0.0491798327002763,-0.232419115099303,0.150962944584989,"McCormick","Antibiotics","Bilateral",6.64,-0.232419115099303
"12784",-0.070969406252149,-0.260706598752034,0.118370176329177,"McCormick","Antibiotics","Unilateral",6.66,-0.260706598752034
"12786",-0.0483749710606243,-0.232054129322339,0.152299810685627,"McCormick","Antibiotics","Bilateral",6.68,-0.232054129322339
"12788",-0.0714660154940389,-0.262912359404963,0.119406347339001,"McCormick","Antibiotics","Unilateral",6.7,-0.262912359404963
"12790",-0.0475776445823719,-0.231694470997583,0.153620253458639,"McCormick","Antibiotics","Bilateral",6.72,-0.231694470997583
"12792",-0.0719704881684098,-0.265142124058524,0.120442300864917,"McCormick","Antibiotics","Unilateral",6.74,-0.265142124058524
"12794",-0.0467878329674265,-0.231340219591367,0.154924309234604,"McCormick","Antibiotics","Bilateral",6.76,-0.231340219591367
"12796",-0.0724825245367393,-0.267394937707536,0.121477607996487,"McCormick","Antibiotics","Unilateral",6.78,-0.267394937707536
"12798",-0.0460055150396487,-0.230991451755797,0.156212016900993,"McCormick","Antibiotics","Bilateral",6.8,-0.230991451755797
"12800",-0.073001811747628,-0.269669825158989,0.122511865216402,"McCormick","Antibiotics","Unilateral",6.82,-0.269669825158989
"12802",-0.0452306687647088,-0.230648241289494,0.157483417821073,"McCormick","Antibiotics","Bilateral",6.84,-0.230648241289494
"12804",-0.0735280303250794,-0.271965757994849,0.123544640490021,"McCormick","Antibiotics","Unilateral",6.86,-0.271965757994849
"12806",-0.0444632712694072,-0.230310659106963,0.158738555756689,"McCormick","Antibiotics","Bilateral",6.88,-0.230310659106963
"12808",-0.0740608566102754,-0.274281697279997,0.124575504078108,"McCormick","Antibiotics","Unilateral",6.9,-0.274281697279997
"12810",-0.0437032988602153,-0.229978773215853,0.159977476798831,"McCormick","Antibiotics","Bilateral",6.92,-0.229978773215853
"12812",-0.0745999582142224,-0.276616618675533,0.125604071312374,"McCormick","Antibiotics","Unilateral",6.94,-0.276616618675533
"12814",-0.0429507270422065,-0.229652648696866,0.161200229296552,"McCormick","Antibiotics","Bilateral",6.96,-0.229652648696866
"12816",-0.07514499437502,-0.278969524078082,0.126630014594215,"McCormick","Antibiotics","Unilateral",6.98,-0.278969524078082
"12818",-0.0422055305381194,-0.229332347687154,0.16240686378637,"McCormick","Antibiotics","Bilateral",7,-0.229332347687154
"12820",-0.0756956160824439,-0.281339402674462,0.127653032135722,"McCormick","Antibiotics","Unilateral",7.02,-0.281339402674462
"12822",-0.041467683307835,-0.229017929365735,0.163597432918756,"McCormick","Antibiotics","Bilateral",7.04,-0.229017929365735
"12824",-0.0762514694592086,-0.283725222506343,0.12867281744058,"McCormick","Antibiotics","Unilateral",7.06,-0.283725222506343
